"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"IG089",1.63013323583395,0.72154219070504,3.59120831458075,0.512934431842357,1
"IG090",2.07052155288709,0.815685704103386,5.42551512423606,0.557555236762814,1
"IG091",2.74513452673024,0.90258255216088,10.2651016032719,0.701717378175234,1
"IG092",2.77422255364154,0.914319264736038,11.6712350439015,0.800471424092194,1
"IG093",2.86573970774538,0.910344950205881,11.1538614087702,0.708806175806982,1
"IG094",2.38574340240617,0.86232139692008,7.26329275304687,0.68838003509699,1
"IG095",2.69231432167904,0.87867743412626,8.24248970336398,0.688215360171273,1
"IG048",1.60706858236091,0.74773541076236,3.96409184111835,0.556007571680211,1
"IG049",2.86510481691244,0.891504037774354,9.21693286539303,0.683852248771855,1
"IG112",2.1379968041309,0.838627288296317,6.19683457904723,0.601346694375472,1
"IG066",2.45137064872968,0.84014459316272,6.25565327932835,0.640271677305065,1
