"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_KRR8","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas_sp_KRR8"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_vulcania","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella","s__Duganella_vulcania"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_margarita","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella","s__Duganella_margarita"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia_glebae","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Caballeronia","s__Caballeronia_glebae"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_jeongneungensis","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__Pedobacter_jeongneungensis"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_levis","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella","s__Duganella_levis"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Scleromatobacter|s__Scleromatobacter_SGB88437","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sphaerotilaceae","g__Scleromatobacter","s__Scleromatobacter_SGB88437"
"k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329|f__FGB5329|g__GGB93945|s__GGB93945_SGB129814","k__Bacteria","p__Actinomycetota","c__CFGB5329","o__OFGB5329","f__FGB5329","g__GGB93945","s__GGB93945_SGB129814"
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Paraconexibacteraceae|g__Paraconexibacter|s__Paraconexibacter_antarcticus","k__Bacteria","p__Actinomycetota","c__Thermoleophilia","o__Solirubrobacterales","f__Paraconexibacteraceae","g__Paraconexibacter","s__Paraconexibacter_antarcticus"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Treboniaceae|g__GGB38450|s__GGB38450_SGB55642","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Streptosporangiales","f__Treboniaceae","g__GGB38450","s__GGB38450_SGB55642"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_cynanchi","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides","s__Nocardioides_cynanchi"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Scleromatobacter|s__Scleromatobacter_humisilvae","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sphaerotilaceae","g__Scleromatobacter","s__Scleromatobacter_humisilvae"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB94264|s__GGB94264_SGB130266","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__GGB94264","s__GGB94264_SGB130266"
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB74783|s__GGB74783_SGB55377","k__Bacteria","p__","c__","o__","f__","g__GGB74783","s__GGB74783_SGB55377"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_HR96","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_sp_HR96"
"k__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified|s__Acidobacteriaceae_bacterium_KBS_83","k__Bacteria","p__Acidobacteriota","c__Terriglobia","o__Terriglobales","f__Acidobacteriaceae","g__","s__Acidobacteriaceae_bacterium_KBS_83"
"k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042|f__FGB10042|g__GGB93793|s__GGB93793_SGB129553","k__Bacteria","p__Actinomycetota","c__CFGB10042","o__OFGB10042","f__FGB10042","g__GGB93793","s__GGB93793_SGB129553"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_phyllosphaerae","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella","s__Duganella_phyllosphaerae"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Intrasporangiaceae|g__Pedococcus|s__Pedococcus_bigeumensis","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Intrasporangiaceae","g__Pedococcus","s__Pedococcus_bigeumensis"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_litorea","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__Massilia_litorea"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_sp_HTCC2649","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Intrasporangiaceae","g__Janibacter","s__Janibacter_sp_HTCC2649"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_sp_Leaf141","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","s__Arthrobacter_sp_Leaf141"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_siccitolerans","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__Pseudarthrobacter_siccitolerans"
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__GGB94540|s__GGB94540_SGB129003","k__Bacteria","p__Actinomycetota","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__GGB94540","s__GGB94540_SGB129003"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae|g__Modestobacter|s__Modestobacter_marinus","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Geodermatophilales","f__Geodermatophilaceae","g__Modestobacter","s__Modestobacter_marinus"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae|g__Blastococcus|s__Blastococcus_sp_CT_GayMR19","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Geodermatophilales","f__Geodermatophilaceae","g__Blastococcus","s__Blastococcus_sp_CT_GayMR19"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Phyllobacterium|s__Candidatus_Phyllobacterium_onerii","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Phyllobacteriaceae","g__Phyllobacterium","s__Candidatus_Phyllobacterium_onerii"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter_sp_ANJX3","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Rhodanobacteraceae","g__Rhodanobacter","s__Rhodanobacter_sp_ANJX3"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_rhododendri","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__Rhizobium","s__Rhizobium_rhododendri"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB92548|s__GGB92548_SGB133250","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__GGB92548","s__GGB92548_SGB133250"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_sp_dw_411","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__Bradyrhizobium","s__Bradyrhizobium_sp_dw_411"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__GGB64395|s__GGB64395_SGB175698","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Mycobacteriales","f__Mycobacteriaceae","g__GGB64395","s__GGB64395_SGB175698"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_S171","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__Burkholderia_sp_S171"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_graminis","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__Paraburkholderia_graminis"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter_dorajii","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Mucilaginibacter","s__Mucilaginibacter_dorajii"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB92593|s__GGB92593_SGB133378","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__GGB92593","s__GGB92593_SGB133378"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methyloradius|s__Methyloradius_palustris","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Methylophilaceae","g__Methyloradius","s__Methyloradius_palustris"
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter|s__Mucilaginibacter_glaciei","k__Bacteria","p__Bacteroidota","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Mucilaginibacter","s__Mucilaginibacter_glaciei"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_SGB108209","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax","s__Variovorax_SGB108209"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_SGB205558","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__Rhizobium","s__Rhizobium_SGB205558"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Nevskiales|f__Nevskiaceae|g__Nevskia|s__Nevskia_ramosa","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Nevskiales","f__Nevskiaceae","g__Nevskia","s__Nevskia_ramosa"
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__GGB136456|s__GGB136456_SGB177376","k__Bacteria","p__Actinomycetota","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__GGB136456","s__GGB136456_SGB177376"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_intermedia","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__Brevundimonas_intermedia"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_ginsenosidivorax","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas_ginsenosidivorax"
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae|g__GGB94829|s__GGB94829_SGB129418","k__Bacteria","p__Actinomycetota","c__Thermoleophilia","o__Solirubrobacterales","f__Conexibacteraceae","g__GGB94829","s__GGB94829_SGB129418"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB92569|s__GGB92569_SGB133344","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__GGB92569","s__GGB92569_SGB133344"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_tumorigenes","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__Rhizobium","s__Rhizobium_tumorigenes"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Beijerinckiaceae_unclassified|s__Beijerinckiaceae_bacterium_RH_AL8","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Beijerinckiaceae","g__","s__Beijerinckiaceae_bacterium_RH_AL8"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_cyaneus","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes","s__Actinoplanes_cyaneus"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_juntendi","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_juntendi"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Luteibacter|s__Luteibacter_anthropi","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Rhodanobacteraceae","g__Luteibacter","s__Luteibacter_anthropi"
"k__Archaea|p__Nitrososphaerota|c__CFGB72910|o__OFGB72910|f__FGB72910|g__GGB87549|s__GGB87549_SGB122612","k__Archaea","p__Nitrososphaerota","c__CFGB72910","o__OFGB72910","f__FGB72910","g__GGB87549","s__GGB87549_SGB122612"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_nitroreducens","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_nitroreducens"
"k__Bacteria|p__Pseudomonadota|c__CFGB81559|o__OFGB81559|f__FGB81559|g__GGB96146|s__GGB96146_SGB125043","k__Bacteria","p__Pseudomonadota","c__CFGB81559","o__OFGB81559","f__FGB81559","g__GGB96146","s__GGB96146_SGB125043"
"k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB53655|s__GGB53655_SGB74787","k__Archaea","p__Nitrososphaerota","c__Nitrososphaeria","o__Nitrososphaerales","f__","g__GGB53655","s__GGB53655_SGB74787"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Lysobacteraceae","g__Stenotrophomonas","s__Stenotrophomonas_maltophilia"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_sp_Is2","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosospira","s__Nitrosospira_sp_Is2"
"k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa|s__Gemmatirosa_kalamazoonensis","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadia","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatirosa","s__Gemmatirosa_kalamazoonensis"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_aerolata","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas_aerolata"
"k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_gelipurpurascens","k__Bacteria","p__Bacteroidota","c__Cytophagia","o__Cytophagales","f__Hymenobacteraceae","g__Hymenobacter","s__Hymenobacter_gelipurpurascens"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_CFBP_13711","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_sp_CFBP_13711"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_graminis","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_graminis"
"k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__Myxococcus|s__Myxococcus_llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Myxococcus","s__Myxococcus_llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis"
"k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__Corallococcus|s__Corallococcus_sp_CA053C","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Corallococcus","s__Corallococcus_sp_CA053C"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Shinella|s__Shinella_lacus","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__Shinella","s__Shinella_lacus"
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB111735","k__Bacteria","p__","c__","o__","f__","g__","s__"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_sp_PhB160","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Microbacteriaceae","g__Frigoribacterium","s__Frigoribacterium_sp_PhB160"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_sp_EST19A","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","s__Microbacterium_sp_EST19A"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_sp_770b2","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax","s__Variovorax_sp_770b2"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Paractinoplanes|s__Paractinoplanes_hotanensis","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micromonosporales","f__Micromonosporaceae","g__Paractinoplanes","s__Paractinoplanes_hotanensis"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_xinjiangensis","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes","s__Actinoplanes_xinjiangensis"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_Leaf344","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Boseaceae","g__Bosea","s__Bosea_sp_Leaf344"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB92364|s__GGB92364_SGB132935","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__GGB92364","s__GGB92364_SGB132935"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_iners","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Methylobacteriaceae","g__Methylobacterium","s__Methylobacterium_iners"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus|s__Geodermatophilus_obscurus","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Geodermatophilales","f__Geodermatophilaceae","g__Geodermatophilus","s__Geodermatophilus_obscurus"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Lentzea|s__Lentzea_californiensis","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Lentzea","s__Lentzea_californiensis"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_sandaracinus","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes","s__Actinoplanes_sandaracinus"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_hydrocarbonoxydans","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","s__Microbacterium_hydrocarbonoxydans"
"k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB87584|s__GGB87584_SGB122631","k__Archaea","p__Nitrososphaerota","c__Nitrososphaeria","o__Nitrososphaerales","f__","g__GGB87584","s__GGB87584_SGB122631"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB92459|s__GGB92459_SGB133190","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__GGB92459","s__GGB92459_SGB133190"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_arabiense","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__Mycolicibacterium_arabiense"
"k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Ohtaekwangia|s__Ohtaekwangia_koreensis","k__Bacteria","p__Bacteroidota","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Ohtaekwangia","s__Ohtaekwangia_koreensis"
"k__Bacteria|p__Actinomycetota|c__CFGB5329|o__OFGB5329|f__FGB5329|g__GGB93951|s__GGB93951_SGB129805","k__Bacteria","p__Actinomycetota","c__CFGB5329","o__OFGB5329","f__FGB5329","g__GGB93951","s__GGB93951_SGB129805"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae|g__Belnapia|s__Belnapia_moabensis","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Acetobacterales","f__Roseomonadaceae","g__Belnapia","s__Belnapia_moabensis"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB44793|s__GGB44793_SGB99603","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__GGB44793","s__GGB44793_SGB99603"
"k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales|f__Longimicrobiaceae|g__GGB93099|s__GGB93099_SGB131465","k__Bacteria","p__Gemmatimonadota","c__Longimicrobiia","o__Longimicrobiales","f__Longimicrobiaceae","g__GGB93099","s__GGB93099_SGB131465"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Chiayiivirga|s__Chiayiivirga_flava","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Rhodanobacteraceae","g__Chiayiivirga","s__Chiayiivirga_flava"
"k__Archaea|p__Nitrososphaerota|c__CFGB659|o__OFGB659|f__FGB659|g__GGB53662|s__GGB53662_SGB74796","k__Archaea","p__Nitrososphaerota","c__CFGB659","o__OFGB659","f__FGB659","g__GGB53662","s__GGB53662_SGB74796"
