rank,taxon,mean_abundance,is_core,is_diff,status
Family,FGB77182,0.05789266304457218,FALSE,FALSE,None
Family,FGB79369,0.006224329571773272,FALSE,FALSE,None
Family,FGB80449,0.0049472163051856085,FALSE,FALSE,None
Family,FGB81405,0.007904640756185875,FALSE,FALSE,None
Family,FGB81559,0.00554236780859993,FALSE,FALSE,None
Family,FGB90239,0.02670773997108487,FALSE,FALSE,None
Family,FGB93774,0.004550619466824929,FALSE,FALSE,None
Family,Flavobacteriaceae,0.3047185627879743,FALSE,FALSE,None
Family,Flectobacillaceae,0.04968103139954722,FALSE,TRUE,Differential only
Family,Fulvivirgaceae,0.04979855683880628,FALSE,TRUE,Differential only
Family,Gaiellaceae,0.04579112866266389,FALSE,FALSE,None
Family,Gemmataceae,0.2577556674317823,FALSE,TRUE,Differential only
Family,Gemmatimonadaceae,0.009240618339763161,FALSE,TRUE,Differential only
Family,Geodermatophilaceae,0.8643883625399956,FALSE,FALSE,None
Family,Gomontiellaceae,0.01358247399008254,FALSE,FALSE,None
Family,Hymenobacteraceae,0.09707855647946761,FALSE,FALSE,None
Family,Hyphomicrobiaceae,0.00785742246349515,FALSE,FALSE,None
Family,Iamiaceae,0.016528248125350704,FALSE,FALSE,None
Family,Intrasporangiaceae,0.02107154870490749,FALSE,FALSE,None
Family,Isosphaeraceae,0.0736244346978893,FALSE,FALSE,None
Family,Kineosporiaceae,0.45014867531778213,FALSE,FALSE,None
Family,Kribbellaceae,0.014018351947609434,FALSE,FALSE,None
Family,Lachnospiraceae,2.9938147323711647e-4,FALSE,FALSE,None
Family,Leadbetterellaceae,0.012789483067804407,FALSE,TRUE,Differential only
Family,Leptolyngbyaceae,0.0037508247097319657,FALSE,FALSE,None
Family,Lichenihabitantaceae,0.05889010757932032,FALSE,FALSE,None
Family,Longimicrobiaceae,0.002764640429485163,FALSE,TRUE,Differential only
Family,Lysobacteraceae,0.5988192937165585,FALSE,FALSE,None
Family,Methylobacteriaceae,28.34022837613477,TRUE,FALSE,Core only
Family,Methylophilaceae,0.01452556650038158,FALSE,TRUE,Differential only
Family,Methylopilaceae,0.06848608504172227,FALSE,FALSE,None
Family,Microbacteriaceae,2.5986338718829094,TRUE,FALSE,Core only
Family,Micrococcaceae,0.531067441519624,FALSE,FALSE,None
Family,Microcoleaceae,3.155603082958344,FALSE,FALSE,None
Family,Micromonosporaceae,1.9728054066525105,FALSE,TRUE,Differential only
Family,Micropepsaceae,0.05860123301182731,FALSE,FALSE,None
Family,Moraxellaceae,0.21571596199852736,FALSE,TRUE,Differential only
Family,Motilibacteraceae,0.005823092783505151,FALSE,FALSE,None
Family,Mycobacteriaceae,0.49331438633754454,FALSE,TRUE,Differential only
Family,Myxococcaceae,0.4542863062705501,FALSE,FALSE,None
Family,Nakamurellaceae,0.0019862882800517263,FALSE,FALSE,None
Family,Nannocystaceae,0.2043373197462062,FALSE,FALSE,None
Family,Nevskiaceae,0.016657114607371546,FALSE,FALSE,None
Family,Nitrobacteraceae,8.103793936118615,TRUE,FALSE,Core only
Family,Nitrosomonadaceae,6.823707245981836e-4,FALSE,FALSE,None
Family,Nocardiaceae,4.147672976587122,FALSE,FALSE,None
Family,Nocardioidaceae,1.4310759844078502,FALSE,TRUE,Differential only
Family,Nostocaceae,0.01944690837097995,FALSE,FALSE,None
Family,Opitutaceae,0.014312478719094714,FALSE,TRUE,Differential only
Family,Oscillatoriaceae,0.005383812817845848,FALSE,FALSE,None
Family,Oxalobacteraceae,1.3868239185773368,FALSE,TRUE,Differential only
Family,Paenibacillaceae,0.0030367013827732377,FALSE,FALSE,None
Family,Paracoccaceae,0.0027081446007113674,FALSE,FALSE,None
Family,Paraconexibacteraceae,0.0016308249465671,FALSE,FALSE,None
Family,Perlucidibacaceae,0.003438040549505294,FALSE,FALSE,None
Family,Phyllobacteriaceae,0.2142328835088921,FALSE,FALSE,None
Family,Planctomycetaceae,0.0013725773195876277,FALSE,FALSE,None
Family,Polyangiaceae,0.6138259859126621,FALSE,FALSE,None
Family,Propionibacteriaceae,0.2751964091543546,FALSE,TRUE,Differential only
Family,Pseudomonadaceae,10.352848583049386,TRUE,FALSE,Core only
Family,Pseudonocardiaceae,6.299150065661003,TRUE,TRUE,Core + Differential
Family,Rhizobiaceae,6.801461457278617,TRUE,FALSE,Core only
Family,Rhodanobacteraceae,0.15208268337091368,FALSE,FALSE,None
Family,Roseiarcaceae,0.01862175251175268,FALSE,FALSE,None
Family,Roseobacteraceae,6.518555194949003e-4,FALSE,FALSE,None
Family,Roseomonadaceae,0.4100468966340232,TRUE,FALSE,Core only
Family,Rubrobacteraceae,0.029705885498272605,FALSE,TRUE,Differential only
Family,Sanguibacteraceae,0.275691774498375,FALSE,FALSE,None
Family,Solirubrobacteraceae,0.018952886174238327,FALSE,TRUE,Differential only
Family,Sphaerotilaceae,0.4424697977417692,FALSE,FALSE,None
Family,Sphingobacteriaceae,1.1836143699657513,FALSE,FALSE,None
Family,Sphingomonadaceae,0.637271439942642,FALSE,TRUE,Differential only
Family,Sphingosinicellaceae,2.9917523990723253e-4,FALSE,FALSE,None
Family,Spirosomataceae,0.0605386554296925,FALSE,TRUE,Differential only
Family,Sporomusaceae,0.018534744121515633,FALSE,FALSE,None
Family,Streptomycetaceae,0.857445512092209,FALSE,FALSE,None
Family,Symphyonemataceae,0.0020396911197835847,FALSE,FALSE,None
Family,Tolypothrichaceae,0.011454228229794092,FALSE,FALSE,None
Family,Treboniaceae,0.03942856734325047,FALSE,FALSE,None
Family,Verrucomicrobiaceae,5.629897805979533e-4,FALSE,FALSE,None
Family,Weeksellaceae,0.20696577048020867,FALSE,TRUE,Differential only
Family,Xanthobacteraceae,0.004260000394216534,FALSE,FALSE,None
Family,Yersiniaceae,0.15129801192162057,FALSE,FALSE,None
Family,unidentified,6.926505254122737,FALSE,FALSE,None
