Sample_ID,region,Batch,sample_name,organism,sex,latitude,longitude,collection_date,library_prep_method,run1_read1,run1_read2
IG019,peninsular ranges,1,IGR184_ext_IG019,Calasterella californica,female,33.71511,-117.61733,2/22/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG019_S7_L002_R1_001.fastq.gz,IG019_S7_L002_R2_001.fastq.gz
IG020,peninsular ranges,1,IGR185_ext_IG020,Calasterella californica,male,33.78634,-117.6647,2/22/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG020_S8_L002_R1_001.fastq.gz,IG020_S8_L002_R2_001.fastq.gz
IG029,SCI,1,IGR188_ext_IG029,Calasterella californica,male,34.0009,-119.7506,3/18/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG029_S17_L002_R1_001.fastq.gz,IG029_S17_L002_R2_001.fastq.gz
IG030,SCI,1,IGR189_ext_IG030,Calasterella californica,female,33.99689,-119.72771,3/18/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG030_S18_L002_R1_001.fastq.gz,IG030_S18_L002_R2_001.fastq.gz
IG033,SCI,1,IGR192_ext_IG033,Calasterella californica,female,34.00419,-119.70552,3/19/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG033_S20_L002_R1_001.fastq.gz,IG033_S20_L002_R2_001.fastq.gz
IG036,SCI,1,IGR196_ext_IG036,Calasterella californica,female,34.00634,-119.74715,3/19/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG036_S23_L002_R1_001.fastq.gz,IG036_S23_L002_R2_001.fastq.gz
IG038,SCI,1,IGR199_ext_IG038,Calasterella californica,female,34.03072,-119.79944,3/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG038_S25_L002_R1_001.fastq.gz,IG038_S25_L002_R2_001.fastq.gz
IG039,SCI,1,IGR200_ext_IG039,Calasterella californica,male,34.0086,-119.77123,3/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG039_S26_L002_R1_001.fastq.gz,IG039_S26_L002_R2_001.fastq.gz
IG040,SCI,1,IGR201_ext_IG040,Calasterella californica,male,34.03201,-119.70087,3/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG040_S27_L002_R1_001.fastq.gz,IG040_S27_L002_R2_001.fastq.gz
IG041,SCI,1,IGR202_ext_IG041,Calasterella californica,male,34.01979,-119.6899,3/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG041_S28_L002_R1_001.fastq.gz,IG041_S28_L002_R2_001.fastq.gz
IG047,Sierras,1,IGR205_ext_IG047,Calasterella californica,male,37.663889,-119.870556,4/17/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG047_S33_L002_R1_001.fastq.gz,IG047_S33_L002_R2_001.fastq.gz
IG070,Sierras,1,IGR230_ext_IG070,Calasterella californica,female,34.6025,-118.55639,4/28/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG070_S55_L002_R1_001.fastq.gz,IG070_S55_L002_R2_001.fastq.gz
IG077,Sierras,1,IGR241_ext_IG077,Calasterella californica,female,35.47513,-118.72465,5/7/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG077_S62_L002_R1_001.fastq.gz,IG077_S62_L002_R2_001.fastq.gz
IG012,Sierras,1,IGR242_ext_IG012,Calasterella californica,female,35.55136,-118.61015,5/7/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG012_S2_L002_R1_001.fastq.gz,IG012_S2_L002_R2_001.fastq.gz
IG078,Sierras,1,IGR243_ext_IG078,Calasterella californica,female,35.79916,-118.45097,5/8/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG078_S63_L002_R1_001.fastq.gz,IG078_S63_L002_R2_001.fastq.gz
IG080,Sierras,1,IGR245_ext_IG080,Calasterella californica,male,35.96612,-118.47743,5/8/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG080_S65_L002_R1_001.fastq.gz,IG080_S65_L002_R2_001.fastq.gz
IG085,Sierras,1,IGR251_ext_IG085,Calasterella californica,male,39.84623,-121.39406,5/16/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG085_S70_L002_R1_001.fastq.gz,IG085_S70_L002_R2_001.fastq.gz
IG084,Sierras,1,IGR250_ext_IG084,Calasterella californica,male,39.8468,-121.39388,5/16/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG084_S69_L002_R1_001.fastq.gz,IG084_S69_L002_R2_001.fastq.gz
IG101,transverse ranges,1,IGR157_ext_IG101,Calasterella californica,male,34.4797833,-119.58597,1/30/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG101_S82_L002_R1_001.fastq.gz,IG101_S82_L002_R2_001.fastq.gz
IG060,transverse ranges,1,IGR218_ext_IG060,Calasterella californica,male,34.18655,-117.52338,4/26/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG060_S45_L002_R1_001.fastq.gz,IG060_S45_L002_R2_001.fastq.gz
IG061,transverse ranges,1,IGR220_ext_IG061,Calasterella californica,male,34.18007,-118.0467,4/26/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG061_S46_L002_R1_001.fastq.gz,IG061_S46_L002_R2_001.fastq.gz
IG062,transverse ranges,1,IGR221_ext_IG062,Calasterella californica,female,34.21557,-118.1446,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG062_S47_L002_R1_001.fastq.gz,IG062_S47_L002_R2_001.fastq.gz
IG063,transverse ranges,1,IGR222_ext_IG063,Calasterella californica,male,34.21804,-118.14352,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG063_S48_L002_R1_001.fastq.gz,IG063_S48_L002_R2_001.fastq.gz
IG064,transverse ranges,1,IGR223_ext_IG064,Calasterella californica,female,34.26104,-118.15262,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG064_S49_L002_R1_001.fastq.gz,IG064_S49_L002_R2_001.fastq.gz
IG065,transverse ranges,1,IGR224_ext_IG065,Calasterella californica,male,34.25779,-118.15536,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG065_S50_L002_R1_001.fastq.gz,IG065_S50_L002_R2_001.fastq.gz
IG067,transverse ranges,1,IGR227_ext_IG067,Calasterella californica,female,34.37624,-118.46304,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG067_S52_L002_R1_001.fastq.gz,IG067_S52_L002_R2_001.fastq.gz
IG068,transverse ranges,1,IGR228_ext_IG068,Calasterella californica,female,34.31837,-118.33321,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG068_S53_L002_R1_001.fastq.gz,IG068_S53_L002_R2_001.fastq.gz
IG069,transverse ranges,1,IGR229_ext_IG069,Calasterella californica,male,34.25422,-118.25288,4/27/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG069_S54_L002_R1_001.fastq.gz,IG069_S54_L002_R2_001.fastq.gz
IG045,centralcal,2,FF339_ext_IG045,Calasterella californica,female,37.94286,-122.64694,4/7/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG045_S31_L002_R1_001.fastq.gz,IG045_S31_L002_R2_001.fastq.gz
IG102,centralcal,2,IGR164_ext_IG102,Calasterella californica,not-determined,35.4248,-120.74017,1/31/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG102_S7_L004_R1_001.fastq.gz,IG102_S7_L004_R2_001.fastq.gz
IG021,centralcal,2,IGR166_ext_IG021,Calasterella californica,not-determined,37.8921,-121.9992,2/14/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG021_S9_L002_R1_001.fastq.gz,IG021_S9_L002_R2_001.fastq.gz
IG113,centralcal,2,IGR284_ext_IG113,Calasterella californica,not-determined,37.210833,-121.370278,4/7/2023,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG113_S1_L006_R1_001.fastq.gz,IG113_S1_L006_R2_001.fastq.gz
IG119,centralcal,2,IGR292_ext_IG119,Calasterella californica,not-determined,37.69715,-122.44398,10/1/2023,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG119_S7_L006_R1_001.fastq.gz,IG119_S7_L006_R2_001.fastq.gz
IG120,centralcal,2,IGR293_ext_IGIG120,Calasterella californica,not-determined,37.69724,-122.44372,10/1/2023,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG120_S8_L006_R1_001.fastq.gz,IG120_S8_L006_R2_001.fastq.gz
IG055,desert,2,IGR213_ext_IG055,Calasterella californica,male,33.24238,-116.42376,4/24/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG055_S40_L002_R1_001.fastq.gz,IG055_S40_L002_R2_001.fastq.gz
IG072,northcal,2,IGR233_ext_IG072,Calasterella californica,not-determined,39.36841,-123.36649,5/1/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG072_S57_L002_R1_001.fastq.gz,IG072_S57_L002_R2_001.fastq.gz
IG073,northcal,2,IGR234_ext_IG073,Calasterella californica,not-determined,39.36833,-123.36819,5/1/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG073_S58_L002_R1_001.fastq.gz,IG073_S58_L002_R2_001.fastq.gz
IG015,peninsular ranges,2,IGR177_ext_IG015,Calasterella californica,male,33.64905,-117.45667,2/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG015_S4_L002_R1_001.fastq.gz,IG015_S4_L002_R2_001.fastq.gz
IG016,peninsular ranges,2,IGR178_ext_IG016,Calasterella californica,female,32.67966,-116.52902,2/21/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG016_S5_L002_R1_001.fastq.gz,IG016_S5_L002_R2_001.fastq.gz
IG018,peninsular ranges,2,IGR180_ext_IG018,Calasterella californica,male,32.99369,-116.75946,2/21/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG018_S2_L004_R1_001.fastq.gz,IG018_S2_L004_R2_001.fastq.gz
IG051,peninsular ranges,2,IGR209_ext_IG051,Calasterella californica,female,33.58415,-117.79495,4/23/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG051_S37_L002_R1_001.fastq.gz,IG051_S37_L002_R2_001.fastq.gz
IG052,peninsular ranges,2,IGR210_ext_IG052,Calasterella californica,male,33.58337,-117.79583,4/23/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG052_S38_L002_R1_001.fastq.gz,IG052_S38_L002_R2_001.fastq.gz
IG037,SCI,2,IGR186_ext_IG037,Calasterella californica,male,34.0009,-119.7506,3/18/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG037_S24_L002_R1_001.fastq.gz,IG037_S24_L002_R2_001.fastq.gz
IG028,SCI,2,IGR187_ext_IG028,Calasterella californica,female,34.0009,-119.7506,3/18/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG028_S16_L002_R1_001.fastq.gz,IG028_S16_L002_R2_001.fastq.gz
IG031,SCI,2,IGR190_ext_IG031,Calasterella californica,female,34.00419,-119.70552,3/19/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG031_S19_L002_R1_001.fastq.gz,IG031_S19_L002_R2_001.fastq.gz
IG110,SCI,2,IGR191_ext_IG110,Calasterella californica,male,34.00419,-119.70552,3/19/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG110_S89_L002_R1_001.fastq.gz,IG110_S89_L002_R2_001.fastq.gz
IG034,SCI,2,IGR194_ext_IG034,Calasterella californica,male,34.00634,-119.74715,3/19/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG034_S21_L002_R1_001.fastq.gz,IG034_S21_L002_R2_001.fastq.gz
IG035,SCI,2,IGR195_ext_IG035,Calasterella californica,male,34.00634,-119.74715,3/19/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG035_S22_L002_R1_001.fastq.gz,IG035_S22_L002_R2_001.fastq.gz
IG099,SCI,2,IGR198_ext_IG099,Calasterella californica,male,34.03072,-119.79944,3/20/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG099_S81_L002_R1_001.fastq.gz,IG099_S81_L002_R2_001.fastq.gz
IG044,Sierras,2,IGR205_ext_IG044,Calasterella californica,male,37.663889,-119.870556,4/17/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG044_S30_L002_R1_001.fastq.gz,IG044_S30_L002_R2_001.fastq.gz
IG076,Sierras,2,IGR240_ext_IG076,Calasterella californica,male,35.47513,-118.72465,5/7/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG076_S61_L002_R1_001.fastq.gz,IG076_S61_L002_R2_001.fastq.gz
IG079,Sierras,2,IGR244_ext_IG079,Calasterella californica,male,35.96612,-118.47743,5/8/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG079_S64_L002_R1_001.fastq.gz,IG079_S64_L002_R2_001.fastq.gz
IG111,transverse ranges,2,IGR150_ext_IG111,Calasterella californica,female,34.4722,-119.707367,1/29/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG111_S90_L002_R1_001.fastq.gz,IG111_S90_L002_R2_001.fastq.gz
IG087,transverse ranges,2,IGR151_ext_IG087,Calasterella californica,male,34.4728833,-119.71172,1/29/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG087_S71_L002_R1_001.fastq.gz,IG087_S71_L002_R2_001.fastq.gz
IG089,transverse ranges,2,IGR153_ext_IG089,Calasterella californica,male,34.4907167,-119.63587,1/30/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG089_S5_L004_R1_001.fastq.gz,IG089_S5_L004_R2_001.fastq.gz
IG090,transverse ranges,2,IGR154_ext_IG090,Calasterella californica,male,34.4901667,-119.63598,1/30/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG090_S73_L002_R1_001.fastq.gz,IG090_S73_L002_R2_001.fastq.gz
IG091,transverse ranges,2,IGR156_ext_IG091,Calasterella californica,not-determined,34.4800833,-119.5865,1/30/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG091_S74_L002_R1_001.fastq.gz,IG091_S74_L002_R2_001.fastq.gz
IG092,transverse ranges,2,IGR158_ext_IG092,Calasterella californica,male,34.5417667,-119.79088,1/30/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG092_S75_L002_R1_001.fastq.gz,IG092_S75_L002_R2_001.fastq.gz
IG093,transverse ranges,2,IGR159_ext_IG093,Calasterella californica,not-determined,34.5417667,-119.79088,1/30/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG093_S76_L002_R1_001.fastq.gz,IG093_S76_L002_R2_001.fastq.gz
IG094,transverse ranges,2,IGR160_ext_IG094,Calasterella californica,female,35.10895,-120.0761,1/31/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG094_S77_L002_R1_001.fastq.gz,IG094_S77_L002_R2_001.fastq.gz
IG095,transverse ranges,2,IGR161_ext_IG095,Calasterella californica,not-determined,35.1088333,-120.0752,1/31/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG095_S78_L002_R1_001.fastq.gz,IG095_S78_L002_R2_001.fastq.gz
IG048,transverse ranges,2,IGR206_ext_IG048,Calasterella californica,female,34.09158,-118.62363,4/22/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG048_S34_L002_R1_001.fastq.gz,IG048_S34_L002_R2_001.fastq.gz
IG049,transverse ranges,2,IGR207_ext_IG049,Calasterella californica,female,34.09207,-118.62168,4/22/2021,"Whole DNA extraction from thalli using a modified CTAB technique, sequencing using NovaSeq S4 300 (PE150)",IG049_S35_L002_R1_001.fastq.gz,IG049_S35_L002_R2_001.fastq.gz
IG112,transverse ranges,2,IGR225_ext_IG112,Calasterella californica,not-determined,34.37624,-118.46304,4/27/2021,"Whole DNA extraction from thalli using the Qiagen Dneasy kit, sequencing using NovaSeq S4 300 (PE150)",IG112_S91_L002_R1_001.fastq.gz,IG112_S91_L002_R2_001.fastq.gz
