file                                        format  type    num_seqs        sum_len  min_len  avg_len  max_len
output/micro_fastq/micro_IG051_R1.fastq.gz  FASTQ   DNA   17,815,159  2,685,759,733       36    150.8      151
output/micro_fastq/micro_IG051_R2.fastq.gz  FASTQ   DNA   17,815,159  2,685,763,494       36    150.8      151
output/micro_fastq/micro_IG052_R1.fastq.gz  FASTQ   DNA   18,954,917  2,853,861,853       36    150.6      151
output/micro_fastq/micro_IG052_R2.fastq.gz  FASTQ   DNA   18,954,917  2,853,866,142       36    150.6      151
output/micro_fastq/micro_IG054_R1.fastq.gz  FASTQ   DNA   19,111,941  2,879,307,961       36    150.7      151
output/micro_fastq/micro_IG054_R2.fastq.gz  FASTQ   DNA   19,111,941  2,879,312,174       36    150.7      151
output/micro_fastq/micro_IG055_R1.fastq.gz  FASTQ   DNA   19,468,684  2,931,360,963       36    150.6      151
output/micro_fastq/micro_IG055_R2.fastq.gz  FASTQ   DNA   19,468,684  2,931,365,156       36    150.6      151
output/micro_fastq/micro_IG056_R1.fastq.gz  FASTQ   DNA   28,311,226  4,263,206,025       36    150.6      151
output/micro_fastq/micro_IG056_R2.fastq.gz  FASTQ   DNA   28,311,226  4,263,212,376       36    150.6      151
output/micro_fastq/micro_IG057_R1.fastq.gz  FASTQ   DNA   19,564,244  2,947,218,006       36    150.6      151
output/micro_fastq/micro_IG057_R2.fastq.gz  FASTQ   DNA   19,564,244  2,947,221,953       36    150.6      151
output/micro_fastq/micro_IG058_R1.fastq.gz  FASTQ   DNA   25,298,762  3,809,281,992       36    150.6      151
output/micro_fastq/micro_IG058_R2.fastq.gz  FASTQ   DNA   25,298,762  3,809,287,357       36    150.6      151
output/micro_fastq/micro_IG059_R1.fastq.gz  FASTQ   DNA   16,584,644  2,494,475,380       36    150.4      151
output/micro_fastq/micro_IG059_R2.fastq.gz  FASTQ   DNA   16,584,644  2,494,478,870       36    150.4      151
output/micro_fastq/micro_IG060_R1.fastq.gz  FASTQ   DNA   31,898,886  4,803,658,397       36    150.6      151
