ID	IG011	IG047	IG070	IG078	IG085	IG063	IG083	IG052	IG103	IG017	IG040	IG030	IG042	IG057	IG082	IG096	IG069	IG114	IG107	IG101	IG081	IG077	IG075	IG074	IG059	IG058	IG056	IG054	IG049	IG046	IG038	IG020	IG014
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales|f__Isosphaeraceae	0.21052	2.18684	0.41181	0.054	0	0.082	0.06561	0	0	0.77944	0	0.08057	0	0	0	0.01864	0	0	0	0	0	0.7784	0.07042	0.03625	0.49157	0.31265	0	0.05827	0.18073	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0.12031	0	0.36235	1.86005	0.77829	0.54385	0.8125	0.01816	2.25839	0.11294	0	0.23818	0.19612	0.01104	0.85388	0.187	0.97855	0	0.72055	0.11756	0	1.4302	0	0.92582	0	0.37198	0.0367	0.63887	0.60416	0.08496	0.5788	0.18193	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae	0.11622	0	0	2.22905	0.07251	0	2.06411	0.03793	0.88415	0	0	2.6716	0.11685	1.21815	0.9928	0.25619	0.248	0	0	0	0	6.40799	0	2.53361	0.54098	0.91432	0.48834	4.29955	0	0	1.01123	0.01022	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	0.11212	0	0.24879	0	1.78954	0	0.69317	0.46535	0	3.01718	0	0.26845	1.14548	0.00448	0	0.00916	0	0	0.3859	0	0	0	0	1.57583	0.72387	0	0	0	0.24335	0.20192	1.1736	0.10763	14.32053
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	30.63123	0	6.34169	0.12201	0.97346	0	0.00606	0.18275	0	0	0	16.3036	1.80056	0.2635	6.07377	0	0	0	0.79732	0	0.03529	3.65078	0.13433	17.5114	0	0	0.04077	0.11368	0.19834	0.00881	0	2.26328	0.43482
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes	27.8082	0	0.1448	0	1.06913	0.02366	1.57566	0.35736	11.23679	0	0	4.28703	0.99776	3.32228	3.18018	0.05217	2.95323	0.02007	0	0	0	0	0.12253	7.6833	0	39.88893	3.41765	12.60427	0.50073	0	0	0.52916	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium	10.95637	0.38234	77.93775	67.49865	2.10526	38.27803	62.63933	28.66066	12.58044	40.55026	5.85528	15.63004	61.86181	4.05198	37.46061	59.03166	24.21629	65.59118	40.09506	71.35956	3.86677	57.56368	22.95905	25.11254	18.7211	21.01748	2.48998	0	45.14932	28.47818	8.63436	26.49782	36.41013
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified	7.88806	0.31537	2.03252	0	0	0.95007	0	7.02228	2.62288	1.6632	0.47105	2.63174	0.48843	44.92265	0.03937	0	0	1.15046	0	0.48916	0.05108	0.98672	0	5.3367	0	0.06537	1.41987	1.66062	3.61961	0	0	10.11687	0.1181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Inquilinus	5.36127	0	3.63853	0.1122	2.09622	11.38669	0.55692	0.16758	15.62291	4.5481	0.49909	0.99581	0.29646	0	3.308	0.96182	36.38205	0	11.54316	0.10739	0	2.13025	0.85222	9.15765	0	0	0	0	0.21718	1.77849	12.28551	0.32695	37.8341
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae|g__Hansschlegelia	5.33438	0	0	0	0	0	0	0	0	0	0	0.00623	0	1.34549	0	0	0	0	0	0	0	0	0	0	0	1.29445	0	0	0	0.21713	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium	4.20451	0	0	23.90554	1.61387	0	0	1.71578	0	0.73646	0.49502	1.30395	0	0	0	0.43887	0	0	0	0	2.55829	4.58055	0.13626	0.20136	0	3.52626	0.03915	0	0.02554	4.46841	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	2.54303	0	0.19958	0	0.67002	0.14049	0.06102	0.13044	0	0.77037	0	0.06644	0.33202	0.08567	0.03703	0	0	0	0	0.18366	0.01307	0	0.83912	0.73025	0	0	0.08431	0	0	17.23023	0.26729	0.60425	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB65415	1.23784	3.42837	1.83067	0.02128	0	4.29136	0.03565	0	10.38396	0.96411	6.12987	0.05464	0	0	0	0.67241	8.86906	0	4.18026	1.0448	0	0.55189	10.73989	1.90543	4.92434	0.16742	0.05143	0	3.6904	0.47481	5.10051	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae|g__Tardiphaga	0.9393	0	0	0	29.18292	0	2.35968	0	0	0.40069	0	0.1372	0.9579	1.25456	0	2.7648	4.15881	0	2.62049	0	0	4.97095	0	0	0	0	0	0	1.20978	0	5.39787	0	0.28182
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Spirosoma	0.8941	0	0.1454	0.11239	0.32472	1.81163	0.2107	0.18086	0.15269	1.84949	0	0.34833	0.09769	0.77478	0.53324	0.3841	1.32353	0	0.70865	0.2939	0.11636	0.65927	0.07887	0.72019	1.51004	0.42783	0.01149	0	0.29282	0.44971	0.15271	0.0774	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia	0.52084	0	0	0	0.881	0	2.97671	0.15671	0	0.13233	0	0.01006	0.94667	1.32801	15.49821	0.15762	0.26515	0	0	0	0	0.05909	0	0.02765	0	0.0518	0.04538	0	0	0	0	0.19115	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0.50337	0	0	0	0	1.47848	5.6196	4.44055	0.6523	1.08215	0.14862	6.75035	3.06768	0.18034	0	0	0.1187	5.2119	36.39652	0.61818	1.00851	0.4003	0.24765	1.36016	0	0	0.07621	0	1.32111	7.04224	0	0.25878	0.09409
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales|f__Kineosporiaceae|g__Kineococcus	0.33538	0	0	1.56185	0	0.25353	0.04728	0	0	0.11913	0.00767	0.1578	0.00827	0	0	0.87173	0.90678	0	0	1.67181	0	1.1755	0	0.2999	0.11116	0	0.01052	0	0	0	0	0.11621	1.02445
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified	0.27366	0	0	0.20002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84939	0.03716	0.06443	2.16126	0	0	0	0	0.75164	0.41753	0	0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales|f__Isosphaeraceae|g__GGB69028	0.21052	2.18684	0.41181	0.054	0	0.082	0.06561	0	0	0.77944	0	0.08057	0	0	0	0.01864	0	0	0	0	0	0.7784	0.07042	0.03625	0.49157	0.31265	0	0	0.18073	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Dankookia	0.12031	0	0.36235	0.82219	0.62781	0.54385	0.8125	0.01816	2.25839	0.11294	0	0.23818	0.19612	0.0051	0.85388	0.187	0.97855	0	0.72055	0.02428	0	1.34038	0	0.91791	0	0.03013	0.00695	0	0.60416	0	0.5788	0.18193	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilaceae_unclassified	0.11622	0	0	1.75247	0	0	1.86059	0.00544	0.88415	0	0	2.42932	0	0	0.55317	0.25619	0.1737	0	0	0	0	5.26314	0	2.11989	0	0	0.0263	0	0	0	1.01123	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__GGB78370	0.11212	0	0.24879	0	1.78954	0	0.69317	0.46535	0	3.01718	0	0.26845	1.14548	0.00448	0	0.00916	0	0	0.3859	0	0	0	0	1.57583	0.72387	0	0	0	0.24335	0.20192	1.1736	0.10763	14.32053
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella	0.00931	0	0.27748	0	0	0.07457	0.47855	0	0.06139	0	0	0.0906	1.45415	0	0	0.34921	0.087	0	0	0	0	0	0.08976	0	0	0	0	0	0.06937	0	0	3.31496	0.44438
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_sp_URHA0020	30.63123	0	6.34169	0.12201	0.94369	0	0.00606	0	0	0	0	16.29194	0.84987	0	1.46957	0	0	0	0.79732	0	0.03529	0.28284	0.13433	17.44458	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_toevensis	27.8082	0	0.12298	0	1.06913	0	0.79646	0.19356	11.23679	0	0	0.59727	0	2.87355	0.99814	0	2.95323	0.02007	0	0	0	0	0	7.6833	0	37.86315	3.41765	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_PvR107	9.29694	0.38234	0	0.77894	0.34715	0.18022	0.68306	0	2.97826	0	0.1014	1.52555	0	0.11282	0	0.77248	0	0	0.39318	0	0	4.52948	0	2.99692	15.80383	0.77564	0.3113	0	1.66274	0	0.21441	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium	7.88806	0	2.03252	0	0	0.95007	0	7.02228	2.62288	1.35953	0.45384	2.63174	0.48843	44.92265	0.03937	0	0	1.15046	0	0.48916	0.05108	0.98672	0	5.3367	0	0.06537	1.41987	1.66062	3.61961	0	0	10.11687	0.1181
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Inquilinus|s__Inquilinus_sp_KBS0705	5.36127	0	3.63853	0.1122	2.09622	11.38669	0.55692	0.16758	15.62291	4.5481	0.49909	0.99581	0.29646	0	3.308	0.96182	36.38205	0	11.54316	0.10739	0	2.13025	0.85222	9.15765	0	0	0	0	0.21718	1.77849	12.28551	0.32695	37.8341
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylocystaceae|g__Hansschlegelia|s__Hansschlegelia_quercus	5.33438	0	0	0	0	0	0	0	0	0	0	0.00623	0	1.34549	0	0	0	0	0	0	0	0	0	0	0	1.29445	0	0	0	0.21713	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_sp_MCPF17_002	4.20451	0	0	22.93416	1.61387	0	0	0	0	0.66445	0	0.89732	0	0	0	0.05077	0	0	0	0	0	2.2204	0.13626	0.13997	0	0	0	0	0.02554	4.46841	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_goettingensis	2.54303	0	0.19958	0	0.67002	0.14049	0.06102	0.13044	0	0.77037	0	0.06644	0.33202	0	0.03703	0	0	0	0	0.18366	0	0	0.27062	0.2199	0	0	0	0	0	16.57962	0.26729	0.60425	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_77	1.31257	0	66.62119	0.14237	0.08115	22.20925	2.55635	20.80089	4.72965	36.53344	0	0	17.7312	0	11.45225	19.23806	18.08937	20.13781	6.11742	1.43338	1.89891	0	0.97355	0.04614	0	0	0	0	7.36086	24.65637	0	26.13273	0
