taxon,samples_present,prevalence_pct,mean_abundance,mean_abundance_present,rank,common_75
FGB659,2,2.0618556701030926,0.004740825379412563,0.22993003090150926,Family,FALSE
Xanthobacteraceae,2,2.0618556701030926,0.004260000362433037,0.20661001757800207,Family,FALSE
FGB49577,2,2.0618556701030926,0.003900308691608404,0.18916497154300754,Family,FALSE
Leptolyngbyaceae,2,2.0618556701030926,0.003750825084814472,0.181915016613502,Family,FALSE
Erythrobacteraceae,2,2.0618556701030926,0.002380928270165037,0.11547502110300423,Family,FALSE
Symphyonemataceae,2,2.0618556701030926,0.0020396907216494874,0.09892500000000001,Family,FALSE
Paraconexibacteraceae,2,2.0618556701030926,0.0016308246504226891,0.07909499554550045,Family,FALSE
FGB52473,2,2.0618556701030926,9.250515463917521e-4,0.044865000000000016,Family,FALSE
Roseobacteraceae,2,2.0618556701030926,6.518556521237145e-4,0.031614999128000185,Family,FALSE
Beijerinckiaceae,2,2.0618556701030926,3.8845355509279175e-4,0.018839997422000397,Family,FALSE
Sphingosinicellaceae,2,2.0618556701030926,2.9917524461855945e-4,0.014509999364000145,Family,FALSE
FGB77182,1,1.0309278350515463,0.057892668833837355,5.6155888768822235,Family,FALSE
Chroococcidiopsidaceae,1,1.0309278350515463,0.05085658776682678,4.933089013382197,Family,FALSE
FGB40736,1,1.0309278350515463,0.04125948453608243,4.00217,Family,FALSE
Enterococcaceae,1,1.0309278350515463,0.03694691460587781,3.5838507167701437,Family,FALSE
FGB90239,1,1.0309278350515463,0.02670772928798995,2.5906497409350266,Family,FALSE
Cladosporiaceae,1,1.0309278350515463,0.009385255854907596,0.9103698179260362,Family,FALSE
FGB81405,1,1.0309278350515463,0.00790474068709309,0.7667598466480305,Family,FALSE
Motilibacteraceae,1,1.0309278350515463,0.005823092783505151,0.56484,Family,FALSE
FGB81559,1,1.0309278350515463,0.005542370025546614,0.5376098924780216,Family,FALSE
Oscillatoriaceae,1,1.0309278350515463,0.005383813894608302,0.522229947777005,Family,FALSE
Beutenbergiaceae,1,1.0309278350515463,0.0051439185545569,0.49896009979202,Family,FALSE
FGB93774,1,1.0309278350515463,0.004550617646577502,0.4414099117180176,Family,FALSE
Aestuariivirgaceae,1,1.0309278350515463,0.004224432989690723,0.4097699999999999,Family,FALSE
FGB54646,1,1.0309278350515463,0.003752474602051587,0.3639900363990037,Family,FALSE
FGB1611,1,1.0309278350515463,0.0035777323165361134,0.34704003470400335,Family,FALSE
Perlucidibacaceae,1,1.0309278350515463,0.003438041237113401,0.33349000000000006,Family,FALSE
Dinobryaceae,1,1.0309278350515463,0.0028787634623506277,0.27924005584801115,Family,FALSE
Paracoccaceae,1,1.0309278350515463,0.0027081446007113695,0.2626900262690027,Family,FALSE
Cryptosporangiaceae,1,1.0309278350515463,0.0017888658004948624,0.17351998264800175,Family,FALSE
FGB36419,1,1.0309278350515463,0.001714536082474227,0.16631000000000004,Family,FALSE
FGB52975,1,1.0309278350515463,0.0014039178065567571,0.13618002723600542,Family,FALSE
Planctomycetaceae,1,1.0309278350515463,0.0013725773195876277,0.13314000000000004,Family,FALSE
Chryseotaleaceae,1,1.0309278350515463,0.0013718560816599163,0.13307003992101196,Family,FALSE
FGB26132,1,1.0309278350515463,0.0012352577319587638,0.11982000000000002,Family,FALSE
FGB26270,1,1.0309278350515463,0.0011327836184330034,0.10988001098800111,Family,FALSE
Nitrosomonadaceae,1,1.0309278350515463,6.823709975464189e-4,0.06618998676200265,Family,FALSE
Verrucomicrobiota_unclassified,1,1.0309278350515463,5.58144441525795e-4,0.05414001082800215,Family,FALSE
FGB15779,1,1.0309278350515463,5.418557784742484e-4,0.0525600105120021,Family,FALSE
Aphanothecaceae,1,1.0309278350515463,4.901031417938197e-4,0.04754000475400048,Family,FALSE
Lachnospiraceae,1,1.0309278350515463,2.9938147323711647e-4,0.02904000290400028,Family,FALSE
Acidothermaceae,1,1.0309278350515463,2.674227338969173e-4,0.02594000518800103,Family,FALSE
Calotrichaceae,1,1.0309278350515463,2.2402061855670118e-4,0.021729999999999996,Family,FALSE
FGB5337,1,1.0309278350515463,2.073195668969094e-4,0.020109997989000202,Family,FALSE
Entophysalidaceae,1,1.0309278350515463,1.0680410235051966e-4,0.010359997928000412,Family,FALSE
FGB14596,1,1.0309278350515463,4.309278781443337e-5,0.00418000041800004,Family,FALSE
