taxon,samples_present,prevalence_pct,mean_abundance,mean_abundance_present,rank,common_75
OFGB72910,3,3.0927835051546393,0.014638865979381434,0.4733233333333334,Order,FALSE
Eubacteriales,3,3.0927835051546393,0.0077136082474226824,0.24940666666666664,Order,FALSE
OFGB79369,3,3.0927835051546393,0.00622432947038149,0.20125331954233477,Order,FALSE
Rhodobacterales,3,3.0927835051546393,0.0033599997853814715,0.10863999306066771,Order,FALSE
Longimicrobiales,3,3.0927835051546393,0.0027646401783096783,0.08939003243201299,Order,FALSE
OFGB75085,3,3.0927835051546393,0.002210515453732002,0.07147333300400141,Order,FALSE
Verrucomicrobiales,3,3.0927835051546393,5.629897047010328e-4,0.018203333785333405,Order,FALSE
Gammaproteobacteria_unclassified,2,2.0618556701030926,0.35686690772821644,17.308045024818497,Order,FALSE
Selenomonadales,2,2.0618556701030926,0.018534742268041252,0.898935,Order,FALSE
Coleofasciculales,2,2.0618556701030926,0.0074938145391340236,0.3634500051480005,Order,FALSE
OFGB659,2,2.0618556701030926,0.004740825591794157,0.2299300412020165,Order,FALSE
OFGB49577,2,2.0618556701030926,0.0039003092300206217,0.1891649976560002,Order,FALSE
Leptolyngbyales,2,2.0618556701030926,0.0037508247205773246,0.18191499894800028,Order,FALSE
OFGB52473,2,2.0618556701030926,9.250516027216561e-4,0.04486500273200028,Order,FALSE
Chroococcales,2,2.0618556701030926,5.969071951340249e-4,0.02894999896400021,Order,FALSE
OFGB77182,1,1.0309278350515463,0.057892668833837355,5.6155888768822235,Order,FALSE
Chroococcidiopsidales,1,1.0309278350515463,0.05085658776682678,4.933089013382197,Order,FALSE
OFGB40736,1,1.0309278350515463,0.04125948866203127,4.0021704002170395,Order,FALSE
Lactobacillales,1,1.0309278350515463,0.03694690721649493,3.5838500000000004,Order,FALSE
OFGB90239,1,1.0309278350515463,0.026707731958762877,2.5906500000000006,Order,FALSE
Cladosporiales,1,1.0309278350515463,0.009385255854907596,0.9103698179260362,Order,FALSE
OFGB81405,1,1.0309278350515463,0.007904742268041238,0.7667599999999999,Order,FALSE
Motilibacterales,1,1.0309278350515463,0.005823092783505151,0.56484,Order,FALSE
OFGB81559,1,1.0309278350515463,0.005542371134020621,0.5376100000000001,Order,FALSE
OFGB93774,1,1.0309278350515463,0.004550618556701034,0.44140999999999997,Order,FALSE
OFGB54646,1,1.0309278350515463,0.003752474602051587,0.3639900363990037,Order,FALSE
OFGB1611,1,1.0309278350515463,0.0035777319587628888,0.34704,Order,FALSE
Chromulinales,1,1.0309278350515463,0.0028787625987216764,0.2792399720760027,Order,FALSE
Cryptosporangiales,1,1.0309278350515463,0.0017888659793814455,0.17351999999999998,Order,FALSE
OFGB36419,1,1.0309278350515463,0.0017145359110206353,0.1663099833690017,Order,FALSE
OFGB52975,1,1.0309278350515463,0.0014039173853814583,0.1361799863820013,Order,FALSE
Planctomycetales,1,1.0309278350515463,0.0013725771823299103,0.13313998668600138,Order,FALSE
OFGB26132,1,1.0309278350515463,0.0012352577319587642,0.11982000000000004,Order,FALSE
OFGB26270,1,1.0309278350515463,0.0011327833918763025,0.10987998901200112,Order,FALSE
Verrucomicrobiota_unclassified,1,1.0309278350515463,5.58144441525795e-4,0.05414001082800215,Order,FALSE
OFGB15779,1,1.0309278350515463,5.418557784742484e-4,0.0525600105120021,Order,FALSE
Lachnospirales,1,1.0309278350515463,2.9938144329896935e-4,0.02904,Order,FALSE
Acidothermales,1,1.0309278350515463,2.6742270715464215e-4,0.025940002594000255,Order,FALSE
OFGB5337,1,1.0309278350515463,2.0731958762886579e-4,0.02011,Order,FALSE
OFGB14596,1,1.0309278350515463,4.3092783505154636e-5,0.00418,Order,FALSE
